test_index,total_responses,correct_responses,correct_after_revision,final_answer_accuracy,self_revision_rate,perplexity_per_language,logical_errors,numerical_errors,revision_attempts
1,11,5,4,0.8181818181818182,0.6666666666666666,"{'en': 40.846653165200046, 'es': 53.228111850392686, 'fr': 47.335729792304114, 'de': 43.853493898192426, 'ru': 73.92564384270497, 'zh': 26.747090117118915, 'ja': 34.58800685472397, 'th': 29.585988404490287, 'sw': 25.652963544793142, 'bn': 40.79763005248357, 'te': 27.54926434190973, 'avg': 40.37368871493763}","['bn', 'te']","['bn', 'te']","{'ru': 0, 'zh': 1, 'ja': 0, 'th': 0}"
2,11,7,3,0.9090909090909091,0.75,"{'en': 24.689824689842045, 'es': 28.867334459106964, 'fr': 28.525568221537032, 'de': 22.621106932289454, 'ru': 21.768768544021857, 'zh': 9.440748564743116, 'ja': 10.780673424513589, 'th': 27.157809701832672, 'sw': 23.819216297993293, 'bn': 41.80790745617861, 'te': 41.22087886251689, 'avg': 25.51816701405232}",['ja'],['ja'],"{'th': 0, 'bn': 0, 'te': 0}"
3,11,0,0,0.0,0.0,"{'en': 33.509023945361044, 'es': 29.89881748872416, 'fr': 55.38307852780581, 'de': 20.5389599560803, 'ru': 41.96492242529105, 'zh': 5.684499035691208, 'ja': 21.44506648548908, 'th': 11.047556072935274, 'sw': 15.172875990875356, 'bn': 30.536929642122097, 'te': 22.743934861389118, 'avg': 26.175060402887684}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
4,11,7,1,0.7272727272727273,0.25,"{'en': 23.564117763464115, 'es': 28.356688350221965, 'fr': 48.650165939614304, 'de': 23.601468405297425, 'ru': 26.88100616453265, 'zh': 11.592939893575029, 'ja': 19.548324230611655, 'th': 11.592939893575029, 'sw': 21.615440885417257, 'bn': 43.44273939687391, 'te': 30.795733847250602, 'avg': 26.331051342766724}","['fr', 'ja', 'te']","['fr', 'ja', 'te']",{'bn': 0}
5,11,9,2,1.0,1.0,"{'en': 32.22728613090005, 'es': 31.21174502285166, 'fr': 42.11957279963343, 'de': 28.18052437653654, 'ru': 72.09247916083291, 'zh': 18.80129230947035, 'ja': 14.142135623730953, 'th': 30.022287840252286, 'sw': 25.843354967111242, 'bn': 18.94645708137998, 'te': 90.34791612528653, 'avg': 36.72136831254417}",[],[],"{'ru': 0, 'th': 0}"
6,11,0,0,0.0,0.0,"{'en': 50.885314033162715, 'es': 30.711589202418335, 'fr': 30.323878109359452, 'de': 54.90380185374644, 'ru': 46.32734080656268, 'zh': 24.259319856180053, 'ja': 30.987479172193503, 'th': 12.42914688283989, 'sw': 53.66559568125461, 'bn': 40.5848906036826, 'te': 42.614831446971195, 'avg': 37.97210796803377}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
7,11,7,3,0.9090909090909091,0.75,"{'en': 29.306335533954027, 'es': 24.644846111432077, 'fr': 31.895173156454096, 'de': 28.80739776646892, 'ru': 23.10587307681483, 'zh': 13.027290866961836, 'ja': 26.908685288118864, 'th': 25.607754657590153, 'sw': 27.389254622912844, 'bn': 50.17761495509745, 'te': 27.990858172759776, 'avg': 28.078280382596805}",['te'],['te'],"{'ja': 0, 'th': 0, 'bn': 1}"
8,11,1,2,0.2727272727272727,0.2,"{'en': 71.97294108472848, 'es': 26.83167800592153, 'fr': 29.487851953185668, 'de': 30.507841267383213, 'ru': 88.8501692590907, 'zh': 7.114571342733978, 'ja': 11.718005939588169, 'th': 13.801983736848827, 'sw': 57.34837424909891, 'bn': 37.091821525581864, 'te': 34.52019852480695, 'avg': 37.204130626269844}","['es', 'de', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['es', 'de', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","{'en': 2, 'ru': 0}"
9,11,0,0,0.0,0.0,"{'en': 66.84576344191332, 'es': 42.055518269020865, 'fr': 40.90355787217772, 'de': 35.788584887007346, 'ru': 44.91223487486465, 'zh': 9.454336053237599, 'ja': 13.033543068388934, 'th': 17.77555612138834, 'sw': 25.471487962262408, 'bn': 48.128055919523035, 'te': 87.49199190388073, 'avg': 39.260057306696815}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
10,11,6,3,0.8181818181818182,0.6,"{'en': 34.22394263600923, 'es': 27.630484871617263, 'fr': 33.77765768079867, 'de': 27.019213243749704, 'ru': 22.975908784705602, 'zh': 15.54338876284801, 'ja': 21.282348152061587, 'th': 37.56892229286051, 'sw': 27.376903096508443, 'bn': 53.613902900408505, 'te': 26.391373513624472, 'avg': 29.764004175926548}","['es', 'te']","['es', 'te']","{'ja': 1, 'th': 0, 'bn': 0}"
11,11,4,5,0.8181818181818182,0.7142857142857143,"{'en': 24.105198086072214, 'es': 59.706092972062415, 'fr': 30.685996991376616, 'de': 34.79547416501123, 'ru': 49.73540798434477, 'zh': 26.023438816258217, 'ja': 30.617534985359672, 'th': 36.39873241573475, 'sw': 24.959675328343003, 'bn': 37.13073659252956, 'te': 24.42059400729537, 'avg': 34.41626203130798}","['bn', 'te']","['bn', 'te']","{'es': 0, 'ru': 1, 'zh': 0, 'ja': 0, 'th': 0}"
12,11,0,0,0.0,0.0,"{'en': 52.51963621622192, 'es': 27.540245639081302, 'fr': 27.585508427637162, 'de': 21.75509000402659, 'ru': 40.31300864690185, 'zh': 26.91735424371501, 'ja': 18.989989429329423, 'th': 16.74072213782519, 'sw': 19.785782098759483, 'bn': 39.566497783262896, 'te': 30.536671673112096, 'avg': 29.29550057271572}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
13,11,0,1,0.09090909090909091,0.09090909090909091,"{'en': 64.10071693176829, 'es': 31.526879878022118, 'fr': 44.43784630900033, 'de': 52.7694421996337, 'ru': 54.49490500075108, 'zh': 7.052288672955809, 'ja': 35.610287658856464, 'th': 9.908264906016624, 'sw': 25.65253533495296, 'bn': 41.29090640456054, 'te': 48.38577585027143, 'avg': 37.74816810425357}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'th', 'sw', 'bn', 'te']",{'ja': 0}
14,11,0,2,0.18181818181818182,0.18181818181818182,"{'en': 20.585087052702146, 'es': 28.280195293034847, 'fr': 82.82789967502745, 'de': 21.90124176775967, 'ru': 44.66654960143551, 'zh': 22.084167282657866, 'ja': 25.11820585162002, 'th': 10.662676954859693, 'sw': 20.34305852463895, 'bn': 62.478243126707845, 'te': 26.981876067293914, 'avg': 33.26629101797618}","['en', 'es', 'de', 'ru', 'zh', 'th', 'sw', 'bn', 'te']","['en', 'es', 'de', 'ru', 'zh', 'th', 'sw', 'bn', 'te']","{'fr': 0, 'ja': 3}"
15,11,0,1,0.09090909090909091,0.09090909090909091,"{'en': 15.849376440000217, 'es': 25.441775677648934, 'fr': 25.028657392370658, 'de': 21.327635639386155, 'ru': 47.9586417797576, 'zh': 24.41162340694707, 'ja': 25.591323825567045, 'th': 14.935892960332758, 'sw': 16.198035878101816, 'bn': 29.28695328317324, 'te': 27.892801257801196, 'avg': 24.90206523100788}","['en', 'es', 'fr', 'de', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{'ru': 0}
16,11,7,0,0.6363636363636364,0.0,"{'en': 65.56850301583101, 'es': 41.92962712629477, 'fr': 32.141863254009316, 'de': 28.313705806670814, 'ru': 32.82256789041622, 'zh': 26.46892102189965, 'ja': 13.877285355690288, 'th': 9.068305454088847, 'sw': 30.653471575176695, 'bn': 70.75641395573523, 'te': 11.896219369500564, 'avg': 33.04517125684667}","['en', 'zh', 'sw', 'bn']","['en', 'zh', 'sw', 'bn']",{}
17,11,6,2,0.7272727272727273,0.4,"{'en': 27.368789391706475, 'es': 30.759953304234187, 'fr': 73.40808814902388, 'de': 77.39921729276462, 'ru': 24.55122915942555, 'zh': 9.848448003547075, 'ja': 4.999999999999999, 'th': 8.615237662477764, 'sw': 43.85494742848554, 'bn': 40.53869194742852, 'te': 27.652803996727535, 'avg': 33.545218757801926}","['sw', 'bn', 'te']","['sw', 'bn', 'te']","{'fr': 1, 'de': 0}"
18,11,0,2,0.18181818181818182,0.18181818181818182,"{'en': 48.52837460643088, 'es': 27.051514011176593, 'fr': 59.617863963538554, 'de': 20.41400051802582, 'ru': 33.70864480717405, 'zh': 9.077141164371398, 'ja': 26.523349449865844, 'th': 13.992360151302046, 'sw': 50.070228426377874, 'bn': 49.233370654535314, 'te': 30.05720116505129, 'avg': 33.47945899253179}","['es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'bn', 'te']","['es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'bn', 'te']","{'en': 0, 'sw': 0}"
19,11,11,0,1.0,0,"{'en': 41.641172842621856, 'es': 33.86637947708697, 'fr': 39.46439025294608, 'de': 30.60184410655471, 'ru': 31.112698372208094, 'zh': 15.14772911316041, 'ja': 11.484694984106929, 'th': 14.153313878103752, 'sw': 26.315674446305632, 'bn': 20.370286207286767, 'te': 12.680131299694695, 'avg': 25.167119543643263}",[],[],{}
20,11,8,2,0.9090909090909091,0.6666666666666666,"{'en': 65.06583964826511, 'es': 32.88436051841369, 'fr': 38.06275951574567, 'de': 40.58647738910183, 'ru': 31.662084077439292, 'zh': 13.908574791258403, 'ja': 13.661606220902717, 'th': 11.930789796909, 'sw': 17.498001625194245, 'bn': 54.00437670789954, 'te': 44.56836117574704, 'avg': 33.07574831517059}",['bn'],['bn'],"{'en': 1, 'te': 0}"
21,11,9,2,1.0,1.0,"{'en': 31.021623279805656, 'es': 24.23769863462405, 'fr': 30.60815201865142, 'de': 29.246167890268456, 'ru': 24.180886896302063, 'zh': 13.776941324203355, 'ja': 16.020228559615553, 'th': 13.908574791258403, 'sw': 24.650015372818455, 'bn': 53.43793931296996, 'te': 50.36597593597993, 'avg': 28.3140185469543}",[],[],"{'bn': 0, 'te': 0}"
