q_no,lang,answer_number,gen_answer,revised_answer2,is_correct,is_correct2,is_correct_rev,is_correct_rev2,ec_1
4,id,540,180.0,180.0,False,False,False,False,Missing Calculation
7,id,260,160.0,160.0,False,False,False,False,Hallucination
13,id,13,12.0,12.0,False,False,False,False,Missing Calculation
14,id,18,42.0,42.0,False,False,False,False,Arithmetic Mistake
6,jv,64,50.0,50.0,False,False,False,False,Hallucination
7,jv,260,20.0,20.0,False,False,False,False,Hallucination
13,jv,13,12.0,12.0,False,False,False,False,Missing Calculation
15,jv,60,55.0,55.0,False,False,False,False,Arithmetic Mistake
19,jv,7,8.0,8.0,False,False,False,False,Missing Calculation
28,jv,16,0.0,0.0,False,False,False,False,Hallucination
38,jv,2,13.0,0.0,False,False,False,False,Hallucination
39,jv,10,5.0,5.0,False,False,False,False,Hallucination
40,jv,18,15.0,27.0,False,False,False,False,Hallucination
42,jv,200,0.0,0.0,False,False,False,False,Missing Calculation
48,jv,800,600.0,600.0,False,False,False,False,Hallucination
2,su,3,3.5,3.5,False,False,False,False,Hallucination
6,su,64,12.54,50.0,False,False,False,False,Hallucination
13,su,13,12.0,12.0,False,False,False,False,Arithmetic Mistake
39,su,10,5.0,5.0,False,False,False,False,Arithmetic Mistake
40,su,18,9.0,6.0,False,False,False,False,Hallucination
